Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
nobitasan001	Cavexxx	Thi’u L©m v‚ t®ng  	7	99	0	41000000	0	0	0	0	0	0	0	113.166.45.59	2019-09-16 15:52:53	2019-09-16 15:53:15
kuronasy	Full9x	Nga My tÙc gia  	7	99	0	1000000	0	0	0	0	0	0	0	171.231.72.193	2019-09-16 15:54:58	2019-09-16 15:56:02
kkkkkkk	iITi”uNha	Nga My xu t gia  	7	99	0	1000000	0	0	0	0	0	0	20000000	113.161.13.196	2019-09-16 15:46:43	2019-09-16 15:47:37
thanhkunqb1	iTi’uNgπo	Hi÷p ßÈc  	0	99	0	1000000	0	0	0	0	0	0	0	113.161.13.196	2019-09-16 15:43:21	2019-09-16 15:44:07
kkkkkk	iTi”uNha	Nga My tÙc gia  	7	99	0	2000000	0	0	0	0	0	0	155000000	113.161.13.196	2019-09-16 15:45:11	2019-09-16 15:47:38
43017lam	iTopL©m	Thi’u L©m v‚ t®ng  	0	99	0	1000000	0	0	0	0	0	0	0	113.172.158.199	2019-09-16 15:44:49	2019-09-16 15:44:50
jx2kingkill	Jx2KingKill	Thi’u L©m v‚ t®ng  	0	99	0	1000000	0	0	0	0	0	0	0	14.172.210.238	2019-09-16 15:48:26	2019-09-16 15:48:28
jx2kingrest	Jx2LinhNhi	V´ m´n ph∏i  	0	1	0	0	0	0	0	0	0	0	0		2019-09-16 15:50:14	1970-01-01 08:00:00
quandtu	QUANDTUX	Thi’u L©m v‚ t®ng  	0	90	0	10000000	0	0	0	0	0	0	4	116.98.147.169	2019-09-16 12:57:27	2019-09-16 15:29:45
Xu t d˜ li÷u hoµn t t
