Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
nuhoangkim4	0000x0000000	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:26:20	2019-09-26 13:29:39
nuhoangkim4	000100011	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:28:10	2019-09-26 13:28:30
dinhnghia37	1102AloXo	Thi’u L©m thi“n t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.2.208.147	2019-09-26 13:23:25	2019-09-26 13:24:37
123456	11111111111	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:47:39	2019-09-26 13:47:55
laogiamin6	11111111123q	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	123.17.28.15	2019-09-26 13:28:17	2019-09-26 13:29:47
clone13	1211312313123	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:04:06	2019-09-26 14:04:26
nsnl13028	12152125	Nga My xu t gia  	0	90	0	0	0	0	0	0	0	0	0	27.71.206.63	2019-09-26 13:53:29	2019-09-26 13:54:25
clone10	123123	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 13:57:06	2019-09-26 13:57:28
mjkjmjkj3	12312312	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	171.246.216.6	2019-09-26 13:55:02	2019-09-26 14:01:47
mjkjmjkj4	123123123	D≠¨ng M´n th≠¨ng K˛  	0	90	0	100	0	0	0	0	0	0	0	171.246.216.6	2019-09-26 14:06:49	2019-09-26 14:07:08
clone11	1231231231231231	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:01:04	2019-09-26 14:01:22
clone16	1231231231231a	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:15:00	2019-09-26 14:15:23
clone17	123123123231234	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	113.163.156.70	2019-09-26 14:17:03	2019-09-26 14:18:42
