StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_26 23:21:06"	nuhoangkim4	0000x0000000	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:26:20	2019-09-26 20:35:51
"2019_09_26 23:21:06"	nuhoangkim4	000100011	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	14.188.82.220	2019-09-26 13:28:10	2019-09-26 20:35:04
"2019_09_26 23:21:06"	thaisaa01	04555sa	Thi’u L©m v‚ t®ng  	7	90	0	0	0	0	0	0	0	0	0	113.182.226.80	2019-09-26 16:08:09	2019-09-26 16:09:33
"2019_09_26 23:21:06"	loangianghocbb	0vdfsgds11111111	Thi’u L©m tÙc gia  	7	90	0	0	0	0	0	0	0	0	2000000	171.244.145.205	2019-09-26 21:54:20	2019-09-26 21:56:17
"2019_09_26 23:21:06"	giabao	10iLOKxGynKenry	D≠¨ng M´n Cung K˛  	7	90	0	5211736	0	0	0	0	0	0	2000003	27.71.206.63	2019-09-26 15:20:04	2019-09-26 16:05:27
"2019_09_26 23:21:06"	dinhnghia37	1102AloXo	Thi’u L©m thi“n t®ng  	0	90	0	0	0	0	0	0	0	0	0	27.2.208.147	2019-09-26 13:23:25	2019-09-26 18:24:33
"2019_09_26 23:21:06"	cuticuti94	111111	Thi’u L©m v‚ t®ng  	7	90	0	101058	0	0	0	0	0	0	193	113.175.138.242	2019-09-26 22:38:27	2019-09-26 22:39:19
"2019_09_26 23:21:06"	chiton222	1111111111	Thi’u L©m tÙc gia  	7	90	0	10978521	0	0	0	0	0	0	2000000	116.104.196.135	2019-09-26 21:41:57	2019-09-26 22:10:57
"2019_09_26 23:21:06"	123456	11111111111	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	1.52.58.91	2019-09-26 13:47:39	2019-09-26 18:25:09
"2019_09_26 23:21:06"	laogiamin6	11111111123q	Thi’u L©m v‚ t®ng  	0	90	0	0	0	0	0	0	0	0	0	123.17.28.15	2019-09-26 13:28:17	2019-09-26 13:29:47
