StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_26 09:13:25"	dta111	00000000	ThiÕu L©m vâ t¨ng  	7	99	0	38263159	0	0	0	0	0	0	0	14.169.247.68	2019-09-22 21:12:43	2019-09-23 17:49:36
"2019_09_26 09:13:25"	amxvippr04	000000i000000	D­¬ng M«n Cung Kþ  	7	99	0	20789800	0	0	0	0	0	0	40	123.22.216.184	2019-09-24 23:36:16	2019-09-25 14:05:12
"2019_09_26 09:13:25"	nhockut96	000ALi000	D­¬ng M«n Cung Kþ  	7	99	0	40280000	0	0	0	0	0	0	20	113.188.229.168	2019-09-24 18:37:08	2019-09-24 18:38:15
"2019_09_26 09:13:25"	lamhoang12542	051154aa	ThiÕu L©m vâ t¨ng  	7	99	0	48217465	0	0	0	0	0	0	3265004855	118.71.170.217	2019-09-22 17:59:54	2019-09-25 19:58:55
"2019_09_26 09:13:25"	lamhoang125422	051154buff	Nga My xuÊt gia  	7	99	0	950000	0	0	0	0	0	0	0	118.71.170.217	2019-09-25 16:59:35	2019-09-25 19:38:42
"2019_09_26 09:13:25"	nambeo038	0988123456	Nga My tôc gia  	7	99	0	41000000	0	0	0	0	0	0	0	58.186.100.152	2019-09-22 19:47:43	2019-09-22 19:48:20
"2019_09_26 09:13:25"	hypeadron	0Hiihihi123	ThiÕu L©m vâ t¨ng  	7	99	0	26942186	0	0	0	0	0	0	23	123.24.139.44	2019-09-23 19:52:18	2019-09-23 21:57:24
"2019_09_26 09:13:25"	buicaotrong000	0o0o0o0o0o0	Nga My xuÊt gia  	7	99	0	900000	0	0	0	0	0	0	3547031	113.162.103.21	2019-09-25 13:50:33	2019-09-25 14:07:28
"2019_09_26 09:13:25"	qweqaz141	0PkChinhPhai	ThiÕu L©m vâ t¨ng  	7	99	0	16000000	0	0	0	0	0	0	25	116.110.73.189	2019-09-22 18:17:45	2019-09-25 17:42:52
"2019_09_26 09:13:25"	chosoihatam1111	111111	Nga My xuÊt gia  	7	99	0	12116000	0	0	0	0	0	0	1000000	171.243.251.52	2019-09-22 21:23:06	2019-09-24 12:50:09
"2019_09_26 09:13:25"	ndtesss	11111111	D­¬ng M«n th­¬ng Kþ  	7	99	0	1000000	0	0	0	0	0	0	0	27.78.88.45	2019-09-25 00:49:24	2019-09-25 00:50:04
"2019_09_26 09:13:25"	ndtesss	11111111111111	C¸i Bang ¤ Y  	7	99	0	1000000	0	0	0	0	0	0	0	27.78.88.45	2019-09-25 00:46:00	2019-09-25 00:46:48
