StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_26 23:21:06	nuhoangkim4	0000x0000000	Tu Ch©n Y’u Quy’t	2	0	554	1
2019_09_26 23:21:06	nuhoangkim4	000100011	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	thaisaa01	04555sa	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	loangianghocbb	0vdfsgds11111111	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	loangianghocbb	0vdfsgds11111111	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	giabao	10iLOKxGynKenry	C©y b∏t nh∑ to	2	0	398	5
2019_09_26 23:21:06	giabao	10iLOKxGynKenry	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	giabao	10iLOKxGynKenry	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	dinhnghia37	1102AloXo	C©y b∏t nh∑ nh·	2	0	504	9
2019_09_26 23:21:06	dinhnghia37	1102AloXo	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	cuticuti94	111111	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	chiton222	1111111111	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	chiton222	1111111111	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	chiton222	1111111111	Van Nang Phu	2	1	30470	1
2019_09_26 23:21:06	123456	11111111111	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	laogiamin6	11111111123q	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	loangiangho5doc	11111gfdg1	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	loangiangho5doc	11111gfdg1	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	loangiangho5doc	11111gfdg1	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	loangianghonmd	1111gfdg11111111	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	loangianghonmd	1111gfdg11111111	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	loangianghonmd	1111gfdg11111111	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	clone13	1211312313123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	nsnl13028	12152125	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	nsnl13028	12152125	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	chaugiaky2	1222222221	Tu Ch©n Y’u Quy’t	2	0	554	3
2019_09_26 23:21:06	chaugiaky2	1222222221	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	test11	123121312qeqwe	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	test11	123121312qeqwe	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	clone10	123123	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	clone10	123123	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	mjkjmjkj3	12312312	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 23:21:06	clone11	1231231231231231	Tui Hat Giong	2	1	30087	2
2019_09_26 23:21:06	clone17	123123123231234	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	clone30	123123123a	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 23:21:06	clone30	123123123a	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 23:21:06	namti20117	12312312asd	C©y b∏t nh∑ nh·	2	0	504	9
