StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_07_09 20:29:22"	anhdayhpv02	0000000000000	HiÖp §éc  	0	90	0	9998500	0	0	0	0	0	0	0	117.6.119.211	2019-07-06 00:31:41	2019-07-06 04:17:05
"2019_07_09 20:29:22"	votrung103	0000000000000000	ThiÕu L©m thiÒn t¨ng  	7	90	0	1000000	0	0	0	0	0	0	0	171.251.14.153	2019-07-05 18:34:48	2019-07-05 18:35:20
"2019_07_09 20:29:22"	lehongthanh1	000Ram000	Nga My xuÊt gia  	7	99	478	10000000	0	0	0	0	0	0	0	14.237.145.105	2019-07-06 20:25:00	2019-07-06 22:37:02
"2019_07_09 20:29:22"	lehongthanh	000Rem000	C¸i Bang TÜnh y  	7	99	288638	33293900	0	0	0	0	0	0	23000021	14.237.145.105	2019-07-06 17:46:53	2019-07-06 22:40:04
"2019_07_09 20:29:22"	anhhung1990wtb	00ooo00	D­¬ng M«n Cung Kþ  	7	90	0	1000000	0	0	0	0	0	0	0	58.187.32.25	2019-07-05 17:23:50	2019-07-06 00:40:02
"2019_07_09 20:29:22"	cuoctinh103	012zzz	V« m«n ph¸i  	0	73	17690	17340000	0	0	0	0	0	0	20000000	116.105.65.167	2019-07-06 02:11:46	2019-07-09 15:37:34
"2019_07_09 20:29:22"	ccccccc1111	0202222022	§­êng M«n phæ th«ng  	7	90	66	997000	0	0	0	0	0	0	0	115.74.215.129	2019-07-05 19:18:17	2019-07-05 19:39:15
"2019_07_09 20:29:22"	sonthai001	021555ss	Vâ §ang tôc gia  	0	90	0	1000000	0	0	0	0	0	0	0	14.230.40.110	2019-07-06 14:31:09	2019-07-06 14:31:38
"2019_07_09 20:29:22"	xuongkute47vn	032541587	V« m«n ph¸i  	0	73	7280	520000	0	0	0	0	0	0	20000000	14.183.109.200	2019-07-06 18:19:58	2019-07-09 16:07:49
"2019_07_09 20:29:22"	lamhoang123	05111Bii	Nga My xuÊt gia  	7	99	294421	4171600	0	0	0	0	0	0	0	118.71.170.155	2019-07-06 18:30:27	2019-07-08 18:08:40
"2019_07_09 20:29:22"	lamhoang12542	051154	ThiÕu L©m vâ t¨ng  	7	99	684449	30182	0	0	0	0	0	0	20000031	118.71.170.181	2019-07-05 20:17:56	2019-07-09 20:03:41
"2019_07_09 20:29:22"	0345420013	08041482	ThiÕu L©m thiÒn t¨ng  	7	90	19751	690000	0	0	0	0	0	0	55	58.187.169.155	2019-07-06 01:47:12	2019-07-09 01:33:40
"2019_07_09 20:29:22"	moltl7	09412asdasd	V« m«n ph¸i  	0	1	4200	120000	0	0	0	0	0	0	0	125.214.50.176	2019-07-05 21:27:34	2019-07-09 13:43:46
