StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_18 11:29:48"	anhhung1994wtb	00ooo00	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.105.220	2019-09-17 10:07:45	2019-09-17 10:08:11
"2019_09_18 11:29:48"	thanhkhang111	112qwe112	Nga My xuÊt gia  	7	99	0	25998500	0	0	0	0	0	0	0	115.78.202.18	2019-09-17 10:26:16	2019-09-17 16:04:33
"2019_09_18 11:29:48"	thangbe11	17C«BÐB¸nHoa	Nga My xuÊt gia  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.98.233	2019-09-17 19:28:40	2019-09-17 19:32:09
"2019_09_18 11:29:48"	utima456	1GËyVÒThµnh	ThiÕu L©m thiÒn t¨ng  	7	99	0	40898500	0	0	0	0	0	0	0	118.68.56.25	2019-09-17 19:28:23	2019-09-17 19:45:03
"2019_09_18 11:29:48"	chansutvang	1skotet	ThiÕu L©m vâ t¨ng  	7	99	0	30255292	0	0	0	0	0	0	32	117.3.63.46	2019-09-17 19:06:54	2019-09-17 19:37:42
"2019_09_18 11:29:48"	doantiep001	1stDoiCoDoc	Nga My tôc gia  	0	99	0	41000000	0	0	0	0	0	0	0	171.234.68.198	2019-09-17 20:43:15	2019-09-17 20:44:56
"2019_09_18 11:29:48"	huytamky	1stEndGame	D­¬ng M«n th­¬ng Kþ  	7	99	0	40998500	0	0	0	0	0	0	0	117.3.67.204	2019-09-16 19:06:10	2019-09-16 19:26:11
"2019_09_18 11:29:48"	phongemga113	1stGaLai	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	18061699	14.184.100.202	2019-09-17 19:46:13	2019-09-18 11:22:53
"2019_09_18 11:29:48"	tenhoa2090	1stTrängDuy1st	ThiÕu L©m vâ t¨ng  	7	99	0	995500	0	0	0	0	0	0	0	115.78.124.52	2019-09-16 19:14:32	2019-09-16 19:24:19
"2019_09_18 11:29:48"	mrnghia03	234sad	ThiÕu L©m vâ t¨ng  	0	99	0	710000	0	0	0	0	0	0	0	116.105.200.105	2019-09-18 08:28:35	2019-09-18 08:30:28
"2019_09_18 11:29:48"	ashleytuan	312e12e21	§­êng M«n phæ th«ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.28.50	2019-09-17 18:29:29	2019-09-17 19:03:20
"2019_09_18 11:29:48"	queonhoc1	3213213123	Nga My xuÊt gia  	7	99	0	31998500	0	0	0	0	0	0	0	1.52.197.216	2019-09-16 20:32:50	2019-09-17 19:20:26
"2019_09_18 11:29:48"	hoangtubang278	333333333	ThiÕu L©m vâ t¨ng  	7	99	0	998500	0	0	0	0	0	0	0	116.106.202.203	2019-09-17 20:02:27	2019-09-17 20:04:00
"2019_09_18 11:29:48"	nhokbopq1	345345k	HiÖp §éc  	7	99	0	40216022	0	0	0	0	0	0	0	115.75.163.232	2019-09-16 20:42:14	2019-09-16 22:04:47
"2019_09_18 11:29:48"	vinhlavua200	3VacLenTroi	ThiÕu L©m vâ t¨ng  	7	99	0	49940000	0	0	0	0	0	0	20000000	113.169.92.21	2019-09-17 21:06:41	2019-09-17 23:26:34
"2019_09_18 11:29:48"	newse7en	4Tuner	ThiÕu L©m vâ t¨ng  	7	99	0	25680000	0	0	0	0	0	0	430000	117.7.234.238	2019-09-17 10:54:15	2019-09-18 11:07:17
"2019_09_18 11:29:48"	chingakaka7	5DOCTRAVINH	HiÖp §éc  	7	99	0	39220000	0	0	0	0	0	0	0	27.71.206.140	2019-09-16 22:44:56	2019-09-17 20:32:42
"2019_09_18 11:29:48"	cozisaiv	5§jx2222	HiÖp §éc  	7	99	0	24458500	0	0	0	0	0	0	1081087	117.6.124.204	2019-09-17 19:33:36	2019-09-17 20:17:30
"2019_09_18 11:29:48"	emteobmt	66t666e	D­¬ng M«n Cung Kþ  	0	99	0	1000000	0	0	0	0	0	0	0	27.74.255.212	2019-09-16 17:03:59	2019-09-16 17:06:33
"2019_09_18 11:29:48"	chingakaka	84OfBeDeTraVinhz	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	20000020	27.71.206.140	2019-09-16 17:46:58	2019-09-17 21:27:05
"2019_09_18 11:29:48"	chingakaka5	99BEDETraVinhzz	ThiÕu L©m vâ t¨ng  	0	99	0	39700000	0	0	0	0	0	0	20000000	27.71.206.140	2019-09-16 22:13:00	2019-09-16 22:19:35
"2019_09_18 11:29:48"	danhdanh010592	aAAAAAA	ThiÕu L©m thiÒn t¨ng  	7	99	0	859200	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 18:51:45	2019-09-16 18:52:25
"2019_09_18 11:29:48"	doanvu2011	aaaaaTLT	ThiÕu L©m vâ t¨ng  	7	99	0	39495500	0	0	0	0	0	0	0	115.79.52.118	2019-09-16 15:59:51	2019-09-16 16:12:16
"2019_09_18 11:29:48"	danhdanh010592	aaaANhÊt	D­¬ng M«n Cung Kþ  	7	99	0	998500	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 17:02:59	2019-09-16 17:15:47
"2019_09_18 11:29:48"	alokaven02	Aclocd	Nga My xuÊt gia  	7	99	0	41000500	0	0	0	0	0	0	25	115.78.128.244	2019-09-17 18:34:11	2019-09-17 19:42:43
"2019_09_18 11:29:48"	an123456	adasdsad	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	0	113.184.232.235	2019-09-16 22:12:56	2019-09-16 22:42:23
"2019_09_18 11:29:48"	xuantuan33	ADxTuÊnnnnnnnn	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	25	115.73.213.18	2019-09-16 18:04:13	2019-09-16 18:08:37
"2019_09_18 11:29:48"	quangtienpc1	AGxxxxTLQ	ThiÕu L©m vâ t¨ng  	0	99	0	998500	0	0	0	0	0	0	0	171.247.192.234	2019-09-17 14:24:35	2019-09-17 14:31:45
"2019_09_18 11:29:48"	mrnghia01	ahiahi	ThiÕu L©m tôc gia  	7	99	0	700000	0	0	0	0	0	0	0	116.105.200.105	2019-09-17 20:30:04	2019-09-18 08:38:01
"2019_09_18 11:29:48"	hieukaka03	AnhKhongNgan	ThiÕu L©m vâ t¨ng  	7	99	0	732000	0	0	0	0	0	0	37	115.75.38.75	2019-09-17 15:54:18	2019-09-17 15:54:53
"2019_09_18 11:29:48"	anhtrong	AnhTrong	ThiÕu L©m thiÒn t¨ng  	7	99	0	26249100	0	0	0	0	0	0	110000024	126.243.19.5	2019-09-16 22:25:16	2019-09-18 10:42:34
"2019_09_18 11:29:48"	welinegen1996	AntonellaRoccuz	Nga My xuÊt gia  	7	99	0	29640000	0	0	0	0	0	0	33910000	113.179.214.129	2019-09-16 22:45:16	2019-09-18 11:26:58
"2019_09_18 11:29:48"	nam2211	Anxiety	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	20000018	123.21.110.219	2019-09-18 10:05:42	2019-09-18 11:18:29
"2019_09_18 11:29:48"	dmtruyenky1104	asdasdasd	C¸i Bang ¤ Y  	7	99	0	1000000	0	0	0	0	0	0	0	1.52.125.242	2019-09-17 13:08:08	2019-09-17 13:09:22
"2019_09_18 11:29:48"	anhtu921	asdasdddddd	D­¬ng M«n th­¬ng Kþ  	0	99	0	1000000	0	0	0	0	0	0	0	125.214.57.144	2019-09-17 23:04:38	2019-09-17 23:05:12
"2019_09_18 11:29:48"	donglatao7	asdqweasdqew	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.186.38	2019-09-17 20:48:32	2019-09-17 20:49:02
"2019_09_18 11:29:48"	concacconcac	asdsadsad	HiÖp §éc  	7	99	0	6152101	0	0	0	0	0	0	0	117.3.63.46	2019-09-17 20:35:43	2019-09-17 20:39:02
"2019_09_18 11:29:48"	gapro12	BachCoNuong	Nga My xuÊt gia  	7	99	0	25219000	0	0	0	0	0	0	20000012	180.93.143.250	2019-09-16 23:12:42	2019-09-17 15:02:06
"2019_09_18 11:29:48"	kephutinh88	BachYUongChiL	ThiÕu L©m vâ t¨ng  	7	99	0	49499500	0	0	0	0	0	0	22455022	115.78.123.31	2019-09-16 16:23:24	2019-09-17 02:16:55
"2019_09_18 11:29:48"	kephutinh99	Bactinh	Nga My xuÊt gia  	7	99	0	33407553	0	0	0	0	0	0	681565464	116.105.200.105	2019-09-16 17:49:38	2019-09-18 08:35:24
"2019_09_18 11:29:48"	kidred	BãngGi¶Trai	Nga My xuÊt gia  	7	99	0	21500000	0	0	0	0	0	0	20000000	78.34.80.144	2019-09-16 23:36:38	2019-09-18 02:43:12
"2019_09_18 11:29:48"	kidred1	BãngLongXiªn	Nga My tôc gia  	7	99	0	33350000	0	0	0	0	0	0	20000026	78.34.80.144	2019-09-16 23:36:15	2019-09-18 02:37:03
"2019_09_18 11:29:48"	789645123	BaoC«ng	ThiÕu L©m vâ t¨ng  	7	99	0	38680000	0	0	0	0	0	0	16	115.79.210.117	2019-09-17 14:37:21	2019-09-17 14:51:20
"2019_09_18 11:29:48"	badaolk00	BaoThanhThien	ThiÕu L©m vâ t¨ng  	7	99	0	23640034	0	0	0	0	0	0	1680000000	27.3.80.201	2019-09-16 21:11:58	2019-09-16 22:46:02
"2019_09_18 11:29:48"	admin123	becontapchoi2k3	ThiÕu L©m vâ t¨ng  	7	99	0	1470125	0	0	0	0	0	0	9991	14.249.114.236	2019-09-17 22:43:49	2019-09-17 23:58:50
"2019_09_18 11:29:48"	bokinhvan1992	BéKinhV©n	ThiÕu L©m vâ t¨ng  	7	99	0	41000000	0	0	0	0	0	0	0	42.116.166.56	2019-09-17 09:06:36	2019-09-17 09:10:45
"2019_09_18 11:29:48"	00973234395	BeNung	Nga My xuÊt gia  	7	99	0	28762006	0	0	0	0	0	0	377000168	14.232.154.165	2019-09-16 20:59:24	2019-09-17 07:16:48
"2019_09_18 11:29:48"	beoga194	BeoBeBong	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	113.170.93.27	2019-09-16 19:26:11	2019-09-16 19:26:12
"2019_09_18 11:29:48"	beoga195	BeoBungBu	ThiÕu L©m vâ t¨ng  	7	99	0	41003300	0	0	0	0	0	0	0	113.170.93.27	2019-09-16 19:25:15	2019-09-17 20:13:44
"2019_09_18 11:29:48"	longksl199	BeTapBanCung	D­¬ng M«n Cung Kþ  	7	99	0	92810507	0	0	0	0	0	0	3313652518	222.254.34.92	2019-09-16 22:44:11	2019-09-18 10:06:26
"2019_09_18 11:29:48"	banhthibao	BÊtCÇn§êi6789	ThiÕu L©m vâ t¨ng  	7	99	0	40988500	0	0	0	0	0	0	0	113.161.177.171	2019-09-16 20:46:03	2019-09-17 12:54:50
"2019_09_18 11:29:48"	ab1111	Bitiss	ThiÕu L©m vâ t¨ng  	7	99	0	36826825	0	0	0	0	0	0	633285227	58.187.54.58	2019-09-16 18:34:08	2019-09-18 09:13:43
