Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
chiton222	111111	ThiÕu L©m tôc gia  	7	90	0	0	0	0	0	0	0	0	2000000	116.104.196.135	2019-09-28 18:14:52	2019-09-28 19:30:51
tungduong98hb	1111111111	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	14.249.10.154	2019-09-28 18:12:37	2019-09-28 20:51:19
loangianghotlq	111111111111aa11	HiÖp §éc  	0	90	0	0	0	0	0	0	0	0	1200000	125.212.177.54	2019-09-28 19:58:34	2019-09-28 20:46:25
chiton222	111111111zz	ThiÕu L©m tôc gia  	7	90	0	1301000	0	0	0	0	0	0	200000	116.104.196.135	2019-09-28 20:57:00	2019-09-28 20:57:21
bnl666	111111d	ThiÕu L©m tôc gia  	7	90	0	85500	0	0	0	0	0	0	0	116.104.196.135	2019-09-28 20:38:32	2019-09-28 20:40:02
bnl222	111111q	ThiÕu L©m tôc gia  	7	90	0	1966500	0	0	0	0	0	0	400000	116.104.196.135	2019-09-28 20:26:47	2019-09-28 20:28:01
bnl999	111111ss	ThiÕu L©m tôc gia  	7	90	0	7000	0	0	0	0	0	0	600000	116.104.196.135	2019-09-28 20:50:14	2019-09-28 21:15:20
bnl888	111111¸a	ThiÕu L©m tôc gia  	7	90	0	5100	0	0	0	0	0	0	400000	116.104.196.135	2019-09-28 20:45:25	2019-09-28 21:14:49
chiton222	11111a	ThiÕu L©m tôc gia  	7	90	0	0	0	0	0	0	0	0	2000000	116.104.196.135	2019-09-28 19:34:03	2019-09-28 20:53:12
bnl777	11111d	ThiÕu L©m tôc gia  	7	90	0	87000	0	0	0	0	0	0	800000	116.104.196.135	2019-09-28 20:42:00	2019-09-28 21:13:47
tieutamhn91	11122221	§­êng M«n phæ th«ng  	7	90	0	0	0	0	0	0	0	0	1600000	42.113.107.4	2019-09-28 20:11:34	2019-09-28 20:31:14
loangianghotlt	1222111111111111	HiÖp §éc  	0	90	0	4507445	0	0	0	0	0	0	1400000	125.212.177.54	2019-09-28 19:42:31	2019-09-28 19:53:11
tieutamhn90	123123	Vâ §ang tôc gia  	0	90	0	3325000	0	0	0	0	0	0	1200000	42.113.107.4	2019-09-28 19:30:29	2019-09-28 19:33:29
chaistingvodau1	12312344a	ThiÕu L©m vâ t¨ng  	0	90	0	0	0	0	0	0	0	0	0	113.172.49.145	2019-09-28 20:27:23	2019-09-28 20:27:23
nguyenkhang1113	123123qwe	ThiÕu L©m vâ t¨ng  	7	90	0	11180000	0	0	0	0	0	0	1200001	113.180.94.176	2019-09-28 20:30:30	2019-09-28 20:36:13
tieutamhn9x	123145	C¸i Bang ¤ Y  	7	90	0	0	0	0	0	0	0	0	1200000	42.113.107.4	2019-09-28 20:14:42	2019-09-28 20:31:07
chaistingvodau1	1232ffa	ThiÕu L©m vâ t¨ng  	7	90	0	0	0	0	0	0	0	0	0	113.172.49.145	2019-09-28 20:28:05	2019-09-28 20:29:14
nsnl13021	1233321	ThiÕu L©m vâ t¨ng  	7	90	0	0	0	0	0	0	0	0	4000000	27.71.206.63	2019-09-28 18:22:07	2019-09-28 18:33:27
nguyenkhang1112	123asd1	ThiÕu L©m vâ t¨ng  	7	90	0	32762362	0	0	0	0	0	0	2400000	113.180.94.176	2019-09-28 19:59:03	2019-09-28 20:23:52
nsnl13022	123ewgf	Vâ §ang ®¹o gia  	7	90	0	14270001	0	0	0	0	0	0	5600000	27.71.206.63	2019-09-28 18:24:00	2019-09-28 18:35:16
