StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_28 21:21:32"	chiton222	111111	ThiÕu L©m tôc gia  	7	90	0	0	0	0	0	0	0	0	2000000	116.104.196.135	2019-09-28 18:14:52	2019-09-28 19:30:51
"2019_09_28 21:21:32"	loangianghotlq	111111111111aa11	HiÖp §éc  	0	90	0	0	0	0	0	0	0	0	1200000	125.212.177.54	2019-09-28 19:58:34	2019-09-28 20:46:25
"2019_09_28 21:21:32"	chiton222	111111111zz	ThiÕu L©m tôc gia  	7	90	0	1301000	0	0	0	0	0	0	200000	116.104.196.135	2019-09-28 20:57:00	2019-09-28 20:57:21
"2019_09_28 21:21:32"	bnl666	111111d	ThiÕu L©m tôc gia  	7	90	0	85500	0	0	0	0	0	0	0	116.104.196.135	2019-09-28 20:38:32	2019-09-28 20:40:02
"2019_09_28 21:21:32"	bnl222	111111q	ThiÕu L©m tôc gia  	7	90	0	1966500	0	0	0	0	0	0	400000	116.104.196.135	2019-09-28 20:26:47	2019-09-28 20:28:01
"2019_09_28 21:21:32"	bnl999	111111ss	ThiÕu L©m tôc gia  	7	90	0	7000	0	0	0	0	0	0	600000	116.104.196.135	2019-09-28 20:50:14	2019-09-28 21:15:20
"2019_09_28 21:21:32"	bnl888	111111¸a	ThiÕu L©m tôc gia  	7	90	0	5100	0	0	0	0	0	0	400000	116.104.196.135	2019-09-28 20:45:25	2019-09-28 21:14:49
"2019_09_28 21:21:32"	chiton222	11111a	ThiÕu L©m tôc gia  	7	90	0	0	0	0	0	0	0	0	2000000	116.104.196.135	2019-09-28 19:34:03	2019-09-28 20:53:12
"2019_09_28 21:21:32"	bnl777	11111d	ThiÕu L©m tôc gia  	7	90	0	87000	0	0	0	0	0	0	800000	116.104.196.135	2019-09-28 20:42:00	2019-09-28 21:13:47
"2019_09_28 21:21:32"	tieutamhn91	11122221	§­êng M«n phæ th«ng  	7	90	0	0	0	0	0	0	0	0	1600000	42.113.107.4	2019-09-28 20:11:34	2019-09-28 20:31:14
"2019_09_28 21:21:32"	loangianghotlt	1222111111111111	HiÖp §éc  	0	90	0	4507445	0	0	0	0	0	0	1400000	125.212.177.54	2019-09-28 19:42:31	2019-09-28 19:53:11
"2019_09_28 21:21:32"	tieutamhn90	123123	Vâ §ang tôc gia  	0	90	0	3325000	0	0	0	0	0	0	1200000	42.113.107.4	2019-09-28 19:30:29	2019-09-28 19:33:29
"2019_09_28 21:21:32"	chaistingvodau1	12312344a	ThiÕu L©m vâ t¨ng  	0	90	0	0	0	0	0	0	0	0	0	113.172.49.145	2019-09-28 20:27:23	2019-09-28 20:27:23
"2019_09_28 21:21:32"	nguyenkhang1113	123123qwe	ThiÕu L©m vâ t¨ng  	7	90	0	11180000	0	0	0	0	0	0	1200001	113.180.94.176	2019-09-28 20:30:30	2019-09-28 20:36:13
"2019_09_28 21:21:32"	tieutamhn9x	123145	C¸i Bang ¤ Y  	7	90	0	0	0	0	0	0	0	0	1200000	42.113.107.4	2019-09-28 20:14:42	2019-09-28 20:31:07
