Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
anhhung1994wtb	00ooo00	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.105.220	2019-09-17 10:07:45	2019-09-17 10:08:11
thanhkhang111	112qwe112	Nga My xuÊt gia  	7	99	0	25998500	0	0	0	0	0	0	0	115.78.202.18	2019-09-17 10:26:16	2019-09-17 16:04:33
thang4	123123qwe	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	14.182.252.241	2019-09-16 19:33:53	2019-09-16 19:33:56
thangbe11	17C«BÐB¸nHoa	Nga My xuÊt gia  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.98.233	2019-09-17 19:28:40	2019-09-17 19:32:09
utima456	1GËyVÒThµnh	ThiÕu L©m thiÒn t¨ng  	7	99	0	40898500	0	0	0	0	0	0	0	118.68.56.25	2019-09-17 19:28:23	2019-09-17 19:45:03
chansutvang	1skotet	ThiÕu L©m vâ t¨ng  	7	99	0	30255292	0	0	0	0	0	0	32	117.3.63.46	2019-09-17 19:06:54	2019-09-17 19:37:42
doantiep001	1stDoiCoDoc	Nga My tôc gia  	0	99	0	41000000	0	0	0	0	0	0	0	171.234.68.198	2019-09-17 20:43:15	2019-09-17 20:44:56
huytamky	1stEndGame	D­¬ng M«n th­¬ng Kþ  	7	99	0	40998500	0	0	0	0	0	0	0	117.3.67.204	2019-09-16 19:06:10	2019-09-16 19:26:11
phongemga113	1stGaLai	ThiÕu L©m vâ t¨ng  	7	99	0	30712480	0	0	0	0	0	0	0	14.184.100.202	2019-09-17 19:46:13	2019-09-17 20:30:08
tenhoa2090	1stTrängDuy1st	ThiÕu L©m vâ t¨ng  	7	99	0	995500	0	0	0	0	0	0	0	115.78.124.52	2019-09-16 19:14:32	2019-09-16 19:24:19
quandtu4444	23a3a3a	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	183.80.156.103	2019-09-17 21:18:36	2019-09-17 21:29:30
ashleytuan	312e12e21	§­êng M«n phæ th«ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.28.50	2019-09-17 18:29:29	2019-09-17 19:03:20
queonhoc1	3213213123	Nga My xuÊt gia  	7	99	0	31998500	0	0	0	0	0	0	0	1.52.197.216	2019-09-16 20:32:50	2019-09-17 19:20:26
hoangtubang278	333333333	ThiÕu L©m vâ t¨ng  	7	99	0	998500	0	0	0	0	0	0	0	116.106.202.203	2019-09-17 20:02:27	2019-09-17 20:04:00
nhokbopq1	345345k	HiÖp §éc  	7	99	0	40216022	0	0	0	0	0	0	0	115.75.163.232	2019-09-16 20:42:14	2019-09-16 22:04:47
vinhlavua200	3VacLenTroi	ThiÕu L©m vâ t¨ng  	7	99	0	34085000	0	0	0	0	0	0	0	116.100.155.235	2019-09-17 21:06:41	2019-09-17 21:51:56
newse7en	4Tuner	ThiÕu L©m vâ t¨ng  	7	99	0	25780000	0	0	0	0	0	0	430000	117.7.234.238	2019-09-17 10:54:15	2019-09-17 13:33:17
chingakaka7	5DOCTRAVINH	HiÖp §éc  	7	99	0	39220000	0	0	0	0	0	0	0	27.71.206.140	2019-09-16 22:44:56	2019-09-17 20:32:42
cozisaiv	5§jx2222	HiÖp §éc  	7	99	0	24458500	0	0	0	0	0	0	1081087	117.6.124.204	2019-09-17 19:33:36	2019-09-17 20:17:30
emteobmt	66t666e	D­¬ng M«n Cung Kþ  	0	99	0	1000000	0	0	0	0	0	0	0	27.74.255.212	2019-09-16 17:03:59	2019-09-16 17:06:33
chingakaka	84OfBeDeTraVinhz	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	20000020	27.71.206.140	2019-09-16 17:46:58	2019-09-17 21:27:05
chingakaka5	99BEDETraVinhzz	ThiÕu L©m vâ t¨ng  	0	99	0	39700000	0	0	0	0	0	0	20000000	27.71.206.140	2019-09-16 22:13:00	2019-09-16 22:19:35
gari1997	aaaaa1331	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	14.234.60.153	2019-09-16 18:17:44	2019-09-16 18:20:56
danhdanh010592	aAAAAAA	ThiÕu L©m thiÒn t¨ng  	7	99	0	859200	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 18:51:45	2019-09-16 18:52:25
doanvu2011	aaaaaTLT	ThiÕu L©m vâ t¨ng  	7	99	0	39495500	0	0	0	0	0	0	0	115.79.52.118	2019-09-16 15:59:51	2019-09-16 16:12:16
danhdanh010592	aaaANhÊt	D­¬ng M«n Cung Kþ  	7	99	0	998500	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 17:02:59	2019-09-16 17:15:47
alokaven02	Aclocd	Nga My xuÊt gia  	7	99	0	41000500	0	0	0	0	0	0	25	115.78.128.244	2019-09-17 18:34:11	2019-09-17 19:42:43
an123456	adasdsad	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	0	113.184.232.235	2019-09-16 22:12:56	2019-09-16 22:42:23
xuantuan33	ADxTuÊnnnnnnnn	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	25	115.73.213.18	2019-09-16 18:04:13	2019-09-16 18:08:37
quangtienpc1	AGxxxxTLQ	ThiÕu L©m vâ t¨ng  	0	99	0	998500	0	0	0	0	0	0	0	171.247.192.234	2019-09-17 14:24:35	2019-09-17 14:31:45
mrnghia01	ahiahi	ThiÕu L©m tôc gia  	7	99	0	700000	0	0	0	0	0	0	0	116.105.200.105	2019-09-17 20:30:04	2019-09-17 21:02:08
hieukaka03	AnhKhongNgan	ThiÕu L©m vâ t¨ng  	7	99	0	732000	0	0	0	0	0	0	37	115.75.38.75	2019-09-17 15:54:18	2019-09-17 15:54:53
anhtrong	AnhTrong	ThiÕu L©m thiÒn t¨ng  	7	99	0	26249100	0	0	0	0	0	0	110000024	126.243.19.5	2019-09-16 22:25:16	2019-09-17 15:49:09
welinegen1996	AntonellaRoccuz	Nga My xuÊt gia  	7	99	0	46000000	0	0	0	0	0	0	26610000	113.179.214.129	2019-09-16 22:45:16	2019-09-17 22:44:34
