StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_17 22:55:08"	anhhung1994wtb	00ooo00	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.105.220	2019-09-17 10:07:45	2019-09-17 10:08:11
"2019_09_17 22:55:08"	thanhkhang111	112qwe112	Nga My xuÊt gia  	7	99	0	25998500	0	0	0	0	0	0	0	115.78.202.18	2019-09-17 10:26:16	2019-09-17 16:04:33
"2019_09_17 22:55:08"	thangbe11	17C«BÐB¸nHoa	Nga My xuÊt gia  	7	99	0	1000000	0	0	0	0	0	0	0	27.72.98.233	2019-09-17 19:28:40	2019-09-17 19:32:09
"2019_09_17 22:55:08"	utima456	1GËyVÒThµnh	ThiÕu L©m thiÒn t¨ng  	7	99	0	40898500	0	0	0	0	0	0	0	118.68.56.25	2019-09-17 19:28:23	2019-09-17 19:45:03
"2019_09_17 22:55:08"	chansutvang	1skotet	ThiÕu L©m vâ t¨ng  	7	99	0	30255292	0	0	0	0	0	0	32	117.3.63.46	2019-09-17 19:06:54	2019-09-17 19:37:42
"2019_09_17 22:55:08"	doantiep001	1stDoiCoDoc	Nga My tôc gia  	0	99	0	41000000	0	0	0	0	0	0	0	171.234.68.198	2019-09-17 20:43:15	2019-09-17 20:44:56
"2019_09_17 22:55:08"	huytamky	1stEndGame	D­¬ng M«n th­¬ng Kþ  	7	99	0	40998500	0	0	0	0	0	0	0	117.3.67.204	2019-09-16 19:06:10	2019-09-16 19:26:11
"2019_09_17 22:55:08"	phongemga113	1stGaLai	ThiÕu L©m vâ t¨ng  	7	99	0	30712480	0	0	0	0	0	0	0	14.184.100.202	2019-09-17 19:46:13	2019-09-17 20:30:08
"2019_09_17 22:55:08"	tenhoa2090	1stTrängDuy1st	ThiÕu L©m vâ t¨ng  	7	99	0	995500	0	0	0	0	0	0	0	115.78.124.52	2019-09-16 19:14:32	2019-09-16 19:24:19
"2019_09_17 22:55:08"	ashleytuan	312e12e21	§­êng M«n phæ th«ng  	7	99	0	1000000	0	0	0	0	0	0	0	113.161.28.50	2019-09-17 18:29:29	2019-09-17 19:03:20
"2019_09_17 22:55:08"	queonhoc1	3213213123	Nga My xuÊt gia  	7	99	0	31998500	0	0	0	0	0	0	0	1.52.197.216	2019-09-16 20:32:50	2019-09-17 19:20:26
"2019_09_17 22:55:08"	hoangtubang278	333333333	ThiÕu L©m vâ t¨ng  	7	99	0	998500	0	0	0	0	0	0	0	116.106.202.203	2019-09-17 20:02:27	2019-09-17 20:04:00
"2019_09_17 22:55:08"	nhokbopq1	345345k	HiÖp §éc  	7	99	0	40216022	0	0	0	0	0	0	0	115.75.163.232	2019-09-16 20:42:14	2019-09-16 22:04:47
"2019_09_17 22:55:08"	vinhlavua200	3VacLenTroi	ThiÕu L©m vâ t¨ng  	7	99	0	34085000	0	0	0	0	0	0	0	116.100.155.235	2019-09-17 21:06:41	2019-09-17 21:51:56
"2019_09_17 22:55:08"	newse7en	4Tuner	ThiÕu L©m vâ t¨ng  	7	99	0	25780000	0	0	0	0	0	0	430000	117.7.234.238	2019-09-17 10:54:15	2019-09-17 13:33:17
"2019_09_17 22:55:08"	chingakaka7	5DOCTRAVINH	HiÖp §éc  	7	99	0	39220000	0	0	0	0	0	0	0	27.71.206.140	2019-09-16 22:44:56	2019-09-17 20:32:42
"2019_09_17 22:55:08"	cozisaiv	5§jx2222	HiÖp §éc  	7	99	0	24458500	0	0	0	0	0	0	1081087	117.6.124.204	2019-09-17 19:33:36	2019-09-17 20:17:30
"2019_09_17 22:55:08"	emteobmt	66t666e	D­¬ng M«n Cung Kþ  	0	99	0	1000000	0	0	0	0	0	0	0	27.74.255.212	2019-09-16 17:03:59	2019-09-16 17:06:33
"2019_09_17 22:55:08"	chingakaka	84OfBeDeTraVinhz	ThiÕu L©m vâ t¨ng  	7	99	0	50000000	0	0	0	0	0	0	20000020	27.71.206.140	2019-09-16 17:46:58	2019-09-17 21:27:05
"2019_09_17 22:55:08"	chingakaka5	99BEDETraVinhzz	ThiÕu L©m vâ t¨ng  	0	99	0	39700000	0	0	0	0	0	0	20000000	27.71.206.140	2019-09-16 22:13:00	2019-09-16 22:19:35
"2019_09_17 22:55:08"	danhdanh010592	aAAAAAA	ThiÕu L©m thiÒn t¨ng  	7	99	0	859200	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 18:51:45	2019-09-16 18:52:25
"2019_09_17 22:55:08"	doanvu2011	aaaaaTLT	ThiÕu L©m vâ t¨ng  	7	99	0	39495500	0	0	0	0	0	0	0	115.79.52.118	2019-09-16 15:59:51	2019-09-16 16:12:16
"2019_09_17 22:55:08"	danhdanh010592	aaaANhÊt	D­¬ng M«n Cung Kþ  	7	99	0	998500	0	0	0	0	0	0	0	27.71.206.166	2019-09-16 17:02:59	2019-09-16 17:15:47
"2019_09_17 22:55:08"	alokaven02	Aclocd	Nga My xuÊt gia  	7	99	0	41000500	0	0	0	0	0	0	25	115.78.128.244	2019-09-17 18:34:11	2019-09-17 19:42:43
"2019_09_17 22:55:08"	an123456	adasdsad	ThiÕu L©m vâ t¨ng  	7	99	0	40998500	0	0	0	0	0	0	0	113.184.232.235	2019-09-16 22:12:56	2019-09-16 22:42:23
